byte: 2 | bit: 34 | key guess: 05 | Cor: 0.308111 ==> correct key: 0.293461
byte: 2 | bit: 35 | key guess: 00 | Cor: 0.336030 ==> correct key: 0.336030
byte: 2 | bit: 36 | key guess: e3 | Cor: 0.296514 ==> correct key: 0.283897
byte: 2 | bit: 37 | key guess: 00 | Cor: 0.296875 ==> correct key: 0.296875
byte: 2 | bit: 38 | key guess: b3 | Cor: 0.304804 ==> correct key: 0.304804
byte: 2 | bit: 39 | key guess: 00 | Cor: 0.320557 ==> correct key: 0.320557
byte: 2 | bit: 40 | key guess: 9f | Cor: 0.300478 ==> correct key: 0.245701
byte: 2 | bit: 41 | key guess: 00 | Cor: 0.266145 ==> correct key: 0.266145
byte: 2 | bit: 42 | key guess: 54 | Cor: 0.291024 ==> correct key: 0.246350
byte: 2 | bit: 43 | key guess: 00 | Cor: 0.289071 ==> correct key: 0.289071
byte: 2 | bit: 44 | key guess: 05 | Cor: 0.290882 ==> correct key: 0.247059
byte: 2 | bit: 45 | key guess: 00 | Cor: 0.234404 ==> correct key: 0.234404
byte: 2 | bit: 46 | key guess: b3 | Cor: 0.317322 ==> correct key: 0.317322
byte: 2 | bit: 47 | key guess: 00 | Cor: 0.273446 ==> correct key: 0.273446
byte: 2 | bit: 48 | key guess: b3 | Cor: 0.357537 ==> correct key: 0.357537
byte: 2 | bit: 49 | key guess: 00 | Cor: 0.260117 ==> correct key: 0.260117
byte: 2 | bit: 50 | key guess: d7 | Cor: 0.297527 ==> correct key: 0.270239
byte: 2 | bit: 51 | key guess: 00 | Cor: 0.258770 ==> correct key: 0.258770
byte: 2 | bit: 52 | key guess: 05 | Cor: 0.308111 ==> correct key: 0.293461
byte: 2 | bit: 53 | key guess: 00 | Cor: 0.212034 ==> correct key: 0.212034
byte: 2 | bit: 54 | key guess: e3 | Cor: 0.296514 ==> correct key: 0.283897
byte: 2 | bit: 55 | key guess: 00 | Cor: 0.375046 ==> correct key: 0.375046
byte: 2 | bit: 56 | key guess: b3 | Cor: 0.304804 ==> correct key: 0.304804
byte: 2 | bit: 57 | key guess: 00 | Cor: 0.299222 ==> correct key: 0.299222
byte: 2 | bit: 58 | key guess: 9f | Cor: 0.300478 ==> correct key: 0.245701
byte: 2 | bit: 59 | key guess: 00 | Cor: 0.398742 ==> correct key: 0.398742
